video_path,sport,technique,duration,quality_rating,movement_sequence,key_frames,notes,ai_analysis
Exercises for Fencing Speed and Footwork.mp4,fencing,unknown,,,,,,
Schielhau Slow Motion.mp4,fencing,unknown,,,,,,
Fencing & Stage Combat Techniques ： Atta.mp4,fencing,unknown,,,,,,
Cut And Thrust (1923).mp4,fencing,unknown,,,,,,
1930s Theory and Practice of Foil Fencin.mp4,fencing,unknown,,,,,,
Slow Mo Fencing Foil.mp4,fencing,unknown,,,,,,
1923 Cut And Thrust.mp4,fencing,unknown,,,,,,
How to Make a Rail Fence Quilt Block.mp4,fencing,unknown,,,,,,
Stage Fencing Dagger Slashes.mp4,fencing,unknown,,,,,,
Sparring Thai Dual Swords Versus Spear ｜.mp4,fencing,unknown,,,,,,
Sabre fencing slow motion parry and Ripo.mp4,fencing,unknown,,,,,,
Coach Marc teaching gentle parry techniq.mp4,fencing,unknown,,,,,,
The Coldest Touch in Fencing.mp4,fencing,unknown,,,,,,
Fencing Footwork - 10 Minutes of Exercis.mp4,fencing,unknown,,,,,,
Fencing Footwork You Can Practice at Hom.mp4,fencing,unknown,,,,,,
Multiply Your Parries： Parries vs Blocki.mp4,fencing,unknown,,,,,,
Swordplay in slow motion.mp4,fencing,unknown,,,,,,
Slow Motion HEMA Exchanges.mp4,fencing,unknown,,,,,,
parry riposte slow motion.mp4,fencing,unknown,,,,,,
Learn the Art of Combat： Longsword Guard.mp4,fencing,unknown,,,,,,
Aikido Sensei Miller Leaping Jumping Div.mp4,fencing,unknown,,,,,,
Fencing Footwork：Slide and Check from Co.mp4,fencing,unknown,,,,,,
